Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
40,Nick Bjugstad,30,ARI,C,3,0,2,2,1,0,0.2,0,0,0,0,2,0,0,6,0.0,47,15:44,2,10,24,24,50.0,bjugsni01
41,Colin Blackwell,29,CHI,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,34,11:26,2,2,1,2,33.3,blackco01
42,Sammy Blais,26,NYR,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,14,13:34,0,3,0,0,,blaissa01
43,Brock Boeser,25,VAN,RW,3,0,3,3,-3,4,0.0,0,0,0,0,3,0,0,2,0.0,51,16:55,2,0,1,1,50.0,boesebr01
44,Matt Boldy,21,MIN,LW,3,2,3,5,1,0,0.5,2,0,0,0,1,2,0,6,33.3,58,19:23,1,6,1,3,25.0,boldyma01
45,Nick Bonino,34,SJS,C,4,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,5,0.0,66,16:29,6,3,25,24,51.0,boninni01
46,Adam Boqvist,22,CBJ,D,3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0.0,50,16:48,3,0,0,0,,boqviad01
47,Jesper Boqvist,24,NJD,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,1,0.0,11,10:59,2,2,6,4,60.0,boqvije01
48,William Borgen,26,SEA,D,4,0,1,1,-2,7,0.0,0,0,0,0,1,0,0,3,0.0,60,15:01,4,6,0,0,,borgewi01
49,Mark Borowiecki,33,NSH,D,2,0,0,0,1,5,0.1,0,0,0,0,0,0,0,1,0.0,23,11:31,0,5,0,0,,borowma01
50,Robert Bortuzzo,33,STL,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,13,13:24,1,2,0,0,,borturo01
51,Evan Bouchard,23,EDM,D,2,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,4,0.0,32,15:56,0,8,0,0,,bouchev01
52,Travis Boyd,29,ARI,C,3,0,1,1,-3,2,-0.1,0,0,0,0,0,1,0,4,0.0,56,18:40,2,3,21,38,35.6,boydtr01
53,Erik Brannstrom,23,OTT,D,2,0,1,1,-1,0,0.1,0,0,0,0,1,0,0,3,0.0,34,16:59,2,0,0,0,,branner01
54,Jesper Bratt,24,NJD,W,2,0,3,3,-1,2,0.2,0,0,0,0,2,1,0,5,0.0,34,17:04,0,0,0,0,,brattje01
55,Justin Braun,35,PHI,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,35,17:40,3,1,0,0,,braunju01
56,T.J. Brodie,32,TOR,D,4,0,1,1,-2,2,0.1,0,0,0,0,1,0,0,6,0.0,82,20:26,6,4,0,0,,broditj01
57,Jonas Brodin,29,MIN,D,3,0,1,1,-6,6,-0.3,0,0,0,0,1,0,0,2,0.0,60,20:00,2,3,0,0,,brodijo01
58,Connor Brown,29,WSH,RW,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0.0,67,16:46,1,6,2,3,40.0,brownco02
59,Josh Brown,29,ARI,D,3,1,0,1,1,2,0.3,1,0,0,0,0,0,0,3,33.3,59,19:35,9,9,0,0,,brownjo01
60,Jacob Bryson,25,BUF,D,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,25,12:40,3,0,0,0,,brysoja01
61,Pavel Buchnevich,27,STL,LW,1,1,1,2,3,0,0.3,0,1,0,0,1,0,0,4,25.0,19,18:50,0,1,0,0,,buchnpa01
62,Michael Bunting,27,TOR,LW,4,1,1,2,0,2,0.2,1,0,0,0,1,0,0,7,14.3,61,15:18,0,5,1,0,100.0,buntimi01
63,Andre Burakovsky,27,SEA,LW,4,2,3,5,-3,2,0.4,0,2,0,0,1,2,0,10,20.0,62,15:25,0,3,0,1,0.0,burakan01
64,Brent Burns,37,CAR,D,3,0,1,1,1,0,0.2,0,0,0,0,0,1,0,12,0.0,69,22:57,0,2,0,0,,burnsbr01
65,Kyle Burroughs,27,VAN,D,3,1,0,1,0,5,0.1,1,0,0,0,0,0,0,8,12.5,56,18:39,3,7,0,0,,burroky01
66,Quinton Byfield,20,LAK,C,4,0,2,2,3,2,0.1,0,0,0,0,2,0,0,3,0.0,50,12:36,0,1,18,21,46.2,byfiequ01
67,Bowen Byram,21,COL,D,3,1,0,1,2,0,0.2,1,0,0,0,0,0,0,4,25.0,56,18:43,4,2,0,0,,byrambo01
68,Brandon Carlo,26,BOS,D,2,0,0,0,1,4,0.0,0,0,0,0,0,0,0,2,0.0,26,12:45,3,6,0,0,,carlobr01
69,John Carlson,33,WSH,D,4,1,1,2,-1,2,0.3,1,0,0,0,0,1,0,8,12.5,96,24:06,10,11,0,0,,carlsjo01
70,Ryan Carpenter,32,NYR,C,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,2,0.0,26,8:31,0,6,8,4,66.7,carpery01
